# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
0.1118297324,97.9166666667,0.0010000000,0.9997876166,0.0009981294,0.0000116489,0.0034130530,0.0000000000
0.0567078439,97.7500000000,0.0010000000,0.9998923023,0.0007512012,0.0000059071,0.0024304459,0.0000000000
7.6955598576,88.7500000000,0.0010000000,0.9853848419,0.0084095929,0.0008016208,0.0283129090,0.0000000000
0.0132764139,98.9166666667,0.0010000000,0.9999747859,0.0001314014,0.0000013830,0.0011759931,0.0000000000
0.0129132110,99.0000000000,0.0010000000,0.9999754756,0.0000965823,0.0000013451,0.0011597957,0.0000000000
0.0128620193,99.0000000000,0.0010000000,0.9999755729,0.0000888272,0.0000013398,0.0011574946,0.0000000000
0.0161662218,98.2500000000,0.0010000000,0.9999692976,0.0003311212,0.0000016840,0.0012976831,0.0000000000
0.1621018166,97.5833333333,0.0010000000,0.9996921415,0.0012903536,0.0000168856,0.0041092099,0.0000000000
0.1838503147,97.5833333333,0.0010000000,0.9996508374,0.0013822945,0.0000191511,0.0043761941,0.0000000000
0.0395112817,97.8333333333,0.0010000000,0.9999249615,0.0006090132,0.0000041158,0.0020287332,0.0000000000
0.6606287328,94.2500000000,0.0010000000,0.9987453553,0.0023639747,0.0000688155,0.0082955104,0.0000000000
0.0976807328,97.6666666667,0.0010000000,0.9998144879,0.0009932701,0.0000101751,0.0031898395,0.0000000000
0.1053048578,97.8333333333,0.0010000000,0.9998000084,0.0010110458,0.0000109693,0.0033119867,0.0000000000
0.0272118331,98.6666666667,0.0010000000,0.9999483202,0.0004068662,0.0000028346,0.0016836169,0.0000000000
0.0128696403,99.0000000000,0.0010000000,0.9999755584,0.0001110107,0.0000013406,0.0011578374,0.0000000000
0.0126900182,99.0833333333,0.0010000000,0.9999758995,0.0000914281,0.0000013219,0.0011497291,0.0000000000
0.0126470158,99.0833333333,0.0010000000,0.9999759812,0.0000836334,0.0000013174,0.0011477794,0.0000000000
0.1296342574,97.6666666667,0.0010000000,0.9997538028,0.0011458539,0.0000135036,0.0036747202,0.0000000000
0.0370915934,97.9166666667,0.0010000000,0.9999295568,0.0005525046,0.0000038637,0.0019656316,0.0000000000
0.0994915977,97.8333333333,0.0010000000,0.9998110488,0.0009273438,0.0000103637,0.0032192714,0.0000000000
0.0406256366,98.0833333333,0.0010000000,0.9999228451,0.0005758224,0.0000042318,0.0020571430,0.0000000000
