# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
0.0488786670,98.2500000000,0.0010000000,0.9999071712,0.0006090469,0.0000050915,0.0022564414,0.0000000000
0.2038829189,97.7500000000,0.0010000000,0.9996127922,0.0013730899,0.0000212378,0.0046084492,0.0000000000
0.0209408442,98.5833333333,0.0010000000,0.9999602298,0.0003765562,0.0000021813,0.0014769353,0.0000000000
0.0088069057,98.9166666667,0.0010000000,0.9999832742,0.0001395205,0.0000009174,0.0009578027,0.0000000000
0.0100864877,98.9166666667,0.0010000000,0.9999808441,0.0001893061,0.0000010507,0.0010250248,0.0000000000
0.0285765827,98.3333333333,0.0010000000,0.9999457283,0.0004687138,0.0000029767,0.0017253195,0.0000000000
0.0084850177,98.8333333333,0.0010000000,0.9999838855,0.0001228178,0.0000008839,0.0009401362,0.0000000000
0.0998509166,97.5833333333,0.0010000000,0.9998103664,0.0010351859,0.0000104011,0.0032250794,0.0000000000
0.0102110948,98.5833333333,0.0010000000,0.9999806074,0.0002042226,0.0000010637,0.0010313369,0.0000000000
0.0089958455,98.9166666667,0.0010000000,0.9999829154,0.0001063994,0.0000009371,0.0009680223,0.0000000000
0.5121727062,94.5000000000,0.0010000000,0.9990272982,0.0023888499,0.0000533513,0.0073041990,0.0000000000
0.0092641751,99.0000000000,0.0010000000,0.9999824058,0.0001315830,0.0000009650,0.0009823534,0.0000000000
0.0088262220,99.0000000000,0.0010000000,0.9999832375,0.0000906887,0.0000009194,0.0009588525,0.0000000000
0.0087770479,99.0000000000,0.0010000000,0.9999833309,0.0000837937,0.0000009143,0.0009561777,0.0000000000
0.0087501720,99.0000000000,0.0010000000,0.9999833820,0.0000806501,0.0000009115,0.0009547127,0.0000000000
0.0096937161,98.8333333333,0.0010000000,0.9999815900,0.0001767047,0.0000010098,0.0010048692,0.0000000000
0.0080400354,99.0000000000,0.0010000000,0.9999847306,0.0000819695,0.0000008375,0.0009151523,0.0000000000
0.0079763106,99.0000000000,0.0010000000,0.9999848516,0.0000753781,0.0000008309,0.0009115183,0.0000000000
0.0079422207,99.0833333333,0.0010000000,0.9999849164,0.0000719983,0.0000008273,0.0009095684,0.0000000000
0.0079185697,99.0833333333,0.0010000000,0.9999849613,0.0000698042,0.0000008249,0.0009082131,0.0000000000
